iter	Passed	Remaining
181	121381	879013
182	121983	877878
183	122699	877566
184	123363	876879
185	124080	876568
186	124717	875689
187	125381	875006
188	126093	874645
189	126896	874919
190	127556	874197
191	128161	873100
192	128677	871407
193	129365	870882
194	130025	870171
195	130372	867374
196	131005	866495
197	131262	863152
198	131970	862784
199	132527	861426
200	133274	861311
201	133926	860580
202	134525	859507
203	135235	859145
204	135899	858483
205	136563	857829
206	136958	855494
207	137753	855663
208	138384	854806
209	139121	854605
210	139844	854309
211	140518	853716
212	141220	853287
213	141829	852304
214	142505	851721
215	143184	851150
216	143805	850243
217	144120	847534
218	144595	845785
219	145270	845211
220	145479	841938
221	145758	839099
222	146400	838356
223	147049	837654
224	147738	837182
225	148438	836775
226	149138	836357
227	149748	835437
228	150353	834497
229	151036	833985
230	151681	833261
231	152340	832619
232	152891	831390
233	153593	830978
234	154159	829836
235	154456	827257
236	155080	826443
237	155698	825592
238	156301	824669
239	157055	824539
240	157400	822272
241	158047	821588
242	158723	821053
243	159366	820347
244	159911	819139
245	160354	817415
246	161041	816943
247	161365	814633
248	161661	812202
249	162297	811487
250	162993	811072
251	163689	810653
252	164379	810201
253	164992	809373
254	165738	809191
255	166413	808667
256	167156	808463
257	167733	807461
258	168418	806976
259	169152	806729
260	169964	806841
261	170660	806404
262	171289	805647
263	172039	805457
264	172702	804858
265	173130	803168
266	173910	803116
267	174594	802613
268	175294	802182
269	175953	801564
270	176684	801273
271	177595	801790
272	178624	802830
273	179460	802985
274	180136	802424
275	180834	801960
276	181646	802000
277	182392	801740
278	183092	801274
279	183817	800921
280	184480	800289
281	185210	799950
282	185961	799698
283	186684	799327
284	187502	799350
285	188266	799144
286	189018	798883
287	189770	798617
288	190589	798627
289	191381	798521
290	192054	797919
291	192779	797526
292	193488	797067
293	194178	796529
294	195011	796571
295	195770	796309
296	196596	796315
297	197283	795752
298	198017	795380
299	198753	795012
300	199516	794752
301	200234	794306
302	200963	793906
303	201692	793500
304	202423	793101
305	203157	792712
306	203897	792343
307	204548	791627
308	205284	791240
309	205998	790769
310	206717	790313
311	207414	789768
312	208149	789371
313	208864	788897
314	209573	788395
315	210265	787828
316	211033	787548
317	212357	789328
318	213152	789131
319	213920	788832
320	214848	789114
321	215589	788710
322	216295	788172
323	217019	787700
324	217711	787109
325	218431	786620
326	219170	786199
327	219892	785714
328	220642	785328
329	221365	784841
330	222063	784267
331	222796	783813
332	223497	783248
333	224234	782805
334	224999	782462
335	225642	781690
336	226380	781248
337	227042	780542
338	227763	780040
339	228513	779633
340	229269	779246
341	230002	778779
342	230734	778309
343	231403	777622
344	232126	777120
345	232849	776614
346	233607	776221
347	234336	775734
348	235072	775267
349	235823	774847
350	236512	774223
351	237260	773793
352	237963	773213
353	238640	772549
354	239400	772151
355	240144	771700
356	240887	771244
357	241738	771131
358	242462	770610
359	243201	770138
360	243898	769529
361	244617	768989
362	245381	768590
363	246188	768325
364	246887	767718
365	247610	767186
366	248334	766657
367	249014	765989
368	249725	765418
369	250490	765010
370	251180	764373
371	251861	763708
372	252570	763129
373	253286	762567
374	253978	761934
375	254754	761552
376	255443	760910
377	256134	760271
378	256838	759673
379	257522	759012
380	258114	758083
381	258923	757792
382	259635	757214
383	260350	756642
384	261055	756043
385	261758	755438
386	262485	754899
387	263202	754332
388	263918	753761
389	264638	753202
390	265377	752695
391	266077	752075
392	266780	751466
393	267498	750895
394	268217	750330
395	268890	749633
396	269585	748998
397	270219	748196
